DPF/FAP filter,Kubikaža,Digitalna klima,Alarm,Vrsta enterijera,price_by_agreement,views,Memorija sjedišta,Klimatizacija,Bluetooth,Emisioni standard,Senzor kiše,Servisna knjiga,Svjetla,Pogon,El. podizači stakala,Masaža sjedišta,Oldtimer,display_price,ABS,Sjedećih mjesta,state,shipping,Boja,Registrovan,Servo volan,El. pomjeranje sjedišta,Tip,Touch screen (ekran),Turbo,Senzor auto. svjetla,USB port,Centralna brava,ESP,Maglenke,Park assist,Muzika/ozvučenje,Komande na volanu,Metalik,Naslon za ruku,Posjeduje gume,Start-Stop sistem,Prilagođen invalidima,Strane tablice,Šiber,Snaga motora (KW),Navigacija,Udaren,price,Parking kamera,Parking senzori,Konjskih snaga,Hlađenje sjedišta,Auto kuka,Head up display,Zaštita/Blokada,model_id,Garancija,Broj prethodnih vlasnika,Hill assist,Transmisija,brand,Car play,free_delivery,ISOFIX,Registrovan do,Broj stepeni prijenosa,Airbag,Panorama krov,Grijanje sjedišta,Tempomat,Senzor mrtvog ugla,Alu felge,Kilometraža,Rolo zavjese,Ocarinjen,model,Gorivo,Daljinsko otključavanje,Električni retrovizori,Godište,Broj vrata
True,3.0,True,True,Koža i alkantara,False,5574,False,Četverozonska,True,Euro 5,True,True,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Siva,True,True,False,Limuzina,False,True,True,True,True,True,True,True,DVD MP3 plus LCD display,True,True,True,Ljetne i Zimske,True,False,False,False,150.0,True,False,37500.0,Nema,Naprijed i nazad,140.0,False,False,False,Ostalo,78.0,0,1,True,Automatik,Audi,False,False,True,03/2025,7+R,True,False,True,True,True,True,246000.0,True,False,A6,Dizel,True,True,2013,4/5
True,1.9,True,False,Ostalo,False,850,False,Dvozonska,False,Euro 5,True,False,LED,Sva četiri,True,False,False,True,True,5,used,no_shipping,Crna,False,True,False,Terenac,False,True,False,False,True,True,False,False,Ostalo,True,True,True,Ostalo,False,False,False,False,95.0,False,False,16900.0,Nema,Naprijed,140.0,False,True,False,Ostalo,1494.0,0,1,False,Manuelni,Suzuki,False,False,True,07/2024,6+R,True,False,True,True,False,True,190000.0,False,true,Grand Vitara,Dizel,True,False,2014,2/3
False,3.0,False,False,Ostalo,False,1144,False,Jednozonska,False,Euro 5,False,False,LED,Prednji,False,False,False,True,False,5,used,no_shipping,Crna,False,False,False,Limuzina,False,False,False,False,False,False,False,False,Ostalo,False,False,False,Ostalo,False,False,False,False,160.0,False,False,15500.0,Nema,Nema,140.0,False,False,False,Ostalo,147.0,0,1,False,Automatik,BMW,False,False,False,07/2024,6+R,False,False,False,False,False,False,370000.0,False,False,530,Dizel,False,False,2004,4/5
True,2.0,True,True,Platno,False,1154,False,Dvozonska,True,Euro 5,True,True,LED,Zadnji,True,False,False,True,True,5,used,no_shipping,Crna,False,True,False,Karavan,True,True,True,True,True,True,True,False,DVD MP3 plus LCD display,True,True,True,Ljetne i Zimske,True,False,False,False,105.0,True,False,13200.0,Nema,Naprijed i nazad,143.0,False,True,True,Električna+mehanička,75.0,1,2,True,Manuelni,Audi,True,False,True,07/2024,6+R,True,False,True,True,False,True,240000.0,True,true,A4,Dizel,True,True,2011,4/5
True,1.9,False,False,Koža i platno,False,201,False,Jednozonska,True,Euro 3,False,False,LED,Prednji,False,False,False,True,True,5,used,no_shipping,Bijela,True,True,False,Limuzina,True,True,False,False,True,True,False,False,DVD MP3 plus LCD display,False,False,False,Ljetne,False,False,False,False,66.0,False,False,3999.0,Nema,Nema,90.0,False,False,False,Ostalo,1587.0,0,1,False,Manuelni,Volkswagen,True,False,False,10/2024,6+R,True,False,False,False,False,True,42000.0,False,False,Golf,Dizel,True,False,2001,2/3
True,1.6,True,True,Platno,False,11380,False,Dvozonska,True,Euro 6,True,True,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Bijela,False,True,False,Karavan,True,True,True,True,True,True,True,True,DVD MP3 plus LCD display,True,True,True,Ostalo,False,False,False,False,85.0,True,False,22500.0,Nema,Nazad,115.0,False,False,False,Električna blokada,1450.0,0,1,False,Manuelni,Škoda,True,False,True,07/2024,5+R,True,False,False,True,False,False,201000.0,False,true,Octavia,Dizel,True,True,2017,4/5
False,2.0,False,False,Ostalo,False,152,False,Jednozonska,False,Euro 5,False,False,LED,Prednji,False,False,False,True,False,5,used,no_shipping,Crna,False,False,False,Karavan,False,False,False,False,False,False,False,False,Ostalo,False,False,False,Ostalo,False,False,False,False,105.0,False,False,16000.0,Nema,Nema,140.0,False,False,False,Ostalo,75.0,0,1,False,Automatik,Audi,False,False,False,07/2024,6+R,False,False,False,False,False,False,260000.0,False,False,A4,Dizel,False,False,2010,4/5
True,2.0,True,False,Ostalo,False,6071,False,Dvozonska,False,Euro 5,True,False,Xenon,Prednji,True,False,False,True,True,5,used,no_shipping,Siva,False,True,True,Karavan,False,True,False,False,True,True,True,False,CD MP3,True,True,True,Ostalo,True,False,False,False,103.0,True,False,11500.0,Prednja i zadnja,Naprijed i nazad,140.0,False,False,False,Ostalo,1596.0,0,1,True,Manuelni,Volkswagen,False,False,True,07/2024,6+R,True,False,True,True,False,False,270000.0,False,true,Passat,Dizel,True,True,2010,4/5
False,1.6,True,True,Platno,False,532,False,Trozonska,True,Euro 5,True,True,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Plava,True,True,True,Karavan,True,True,True,True,True,True,True,True,CD MP3,True,True,True,Ostalo,True,False,False,False,88.0,True,False,33900.0,Zadnja,Naprijed i nazad,120.0,False,False,False,Ostalo,1596.0,0,1,True,Automatik,Volkswagen,False,False,True,07/2024,6+R,True,False,False,True,False,True,158420.0,False,false,Passat,Dizel,True,True,2018,4/5
True,1.6,True,True,Platno,False,684,False,Jednozonska,True,Euro 5,False,True,Xenon,Prednji,True,False,False,True,True,5,used,no_shipping,Siva,False,True,False,Karavan,False,False,False,True,True,True,False,False,CD MP3 plus pojačalo,False,True,True,Ljetne i Zimske,False,False,False,False,82.0,True,False,8350.0,Nema,Naprijed i nazad,140.0,False,False,True,Ostalo,1256.0,0,1,False,Manuelni,Peugeot,False,False,False,07/2024,6+R,True,True,True,True,False,True,278387.0,False,true,308,Dizel,True,True,2011,4/5
False,1.5,False,False,Ostalo,False,9892,False,Jednozonska,True,Euro 6,False,True,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Crna,True,True,False,Limuzina,True,True,False,True,True,True,True,False,DVD MP3 plus LCD display,True,True,False,Ostalo,False,False,False,False,73.0,True,False,21500.0,Nema,Nazad,100.0,False,False,False,Ostalo,1792.0,0,1,False,Manuelni,Peugeot,False,False,False,07/2024,6+R,True,False,False,True,False,False,124206.0,False,true,2008,Dizel,True,True,2019,4/5
False,1.5,True,False,Platno,False,807,False,Dvozonska,True,Euro 6,True,True,Xenon,Prednji,True,False,False,True,True,5,used,no_shipping,Zelena,True,True,False,Sportski/kupe,True,False,True,True,True,True,True,False,Ostalo,True,True,False,Ljetne,True,False,False,False,75.0,True,False,61900.0,Nema,Nazad,102.0,False,False,True,Ostalo,1105.0,0,1,True,Manuelni,MINI,False,False,True,05/2025,5+R,True,False,True,True,False,True,11000.0,True,False,John Cooper Works,Benzin,True,True,2021,4/5
False,1.4,True,True,Koža,False,337,False,Dvozonska,False,Euro 5,False,True,Xenon,Prednji,True,False,False,True,True,5,used,no_shipping,Bijela,False,True,False,Sportski/kupe,False,True,False,True,True,True,True,False,Ostalo,True,True,True,Ostalo,False,False,False,False,125.0,False,False,15800.0,Nema,Nazad,170.0,False,False,False,Ostalo,32.0,0,1,False,Manuelni,Alfa Romeo,False,False,False,07/2024,6+R,True,False,True,True,False,True,276203.0,False,true,Giulietta,Benzin,True,True,2010,4/5
True,1.6,True,True,Koža i alkantara,False,223,False,Dvozonska,True,Euro 5,False,False,Xenon,Prednji,False,False,False,True,True,5,used,no_shipping,Siva,False,True,False,Limuzina,True,True,False,True,True,True,True,False,DVD MP3 plus LCD display,True,True,True,Ljetne,False,False,False,False,77.0,True,False,15995.0,Nema,Nema,140.0,False,False,False,Ostalo,74.0,0,1,False,Automatik,Audi,False,False,True,07/2024,6+R,True,False,True,True,False,True,251000.0,False,true,A3,Dizel,True,True,2010,4/5
True,2.0,True,False,Platno,False,86,False,Jednozonska,False,Euro 5,True,True,Xenon,Prednji,True,False,False,True,True,5,used,no_shipping,Siva,False,True,False,Limuzina,False,True,True,True,True,True,True,False,Ostalo,False,True,True,Ostalo,False,False,False,False,100.0,True,False,18800.0,Nema,Nazad,140.0,False,True,False,Ostalo,75.0,0,2,False,Automatik,Audi,False,False,False,07/2024,8+R,False,False,False,True,False,True,213000.0,False,true,A4,Dizel,True,False,2009,4/5
True,1.6,True,True,Platno,False,437,False,Jednozonska,False,Euro 5,True,False,Halogena,Prednji,True,False,False,True,True,5,used,no_shipping,Siva,False,True,False,Karavan,False,True,True,True,True,True,True,False,DVD MP3 plus LCD display,True,True,True,Zimske,False,False,False,False,85.0,True,False,13900.0,Nema,Nema,115.0,False,False,False,Ostalo,498.0,0,1,False,Manuelni,Ford,False,False,True,07/2024,6+R,True,False,False,True,False,False,176000.0,True,true,Focus,Dizel,True,True,2014,4/5
False,2.0,False,False,Ostalo,False,297,False,Jednozonska,True,Euro 5,False,False,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Crna,False,True,False,Kombi,False,False,True,False,True,True,True,False,Ostalo,True,False,True,Ostalo,False,False,False,False,110.0,False,False,26000.0,Nema,Nazad,140.0,False,False,False,Ostalo,1880.0,0,1,False,Manuelni,Volkswagen,False,False,False,07/2024,6+R,True,False,False,False,False,False,255000.0,False,true,T6 Kombi,Dizel,True,True,2017,4/5
